school_year	on_year_glance_calendar	on_faculty_calendar	on_weekly_bulletin	type	cycle	start_date	end_date	start_time	end_time	google_title	title	location	iolani_team	is_home_game	iolani_opponent	trainers	non_iolani_team_a	non_iolani_team_b	notes	lunch_type_a	lunch_type_b
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	9/13/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	1	9/16/2013	 		 	(Cycle 1)	Cycle 1            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	9/16/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	9/17/2013	 		 	"Extended 1 Schedule (2,4,6,8)"	"Extended 1 Schedule (2,4,6,8)"										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	9/18/2013	 		 	"Extended 1 Schedule (1,3,5,7)"	"Extended 1 Schedule (1,3,5,7)"										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	9/19/2013	 		 	Assembly 1 Schedule	Assembly 1 Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	9/20/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	7	9/23/2013	 		 	(Cycle 7)	Cycle 7            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	9/23/2013	 		 	Assembly  1 Schedule	Assembly  1 Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	9/23/2013	 		 	Chapel  Schedule	Chapel  Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	9/24/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	9/25/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	9/26/2013	 		 	Assembly 3 Schedule (No Chapel)	Assembly 3 Schedule (No Chapel)										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	9/27/2013	 		 	Assembly 3 Schedule	Assembly 3 Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	3	9/30/2013	 		 	(Cycle 3)	Cycle 3            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	9/30/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	3	10/1/2013	 		 	(Cycle 3)	Cycle 3 (SC n/a Pd. 8)     										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	10/1/2013	 		 	Assembly 1 Schedule (Gr.  10 Chapel)	Assembly 1 Schedule (Gr.  10 Chapel)										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	10/2/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	10/3/2013	 		 	Assembly 1 Schedule (Gr.  12 Chapel)	Assembly 1 Schedule (Gr.  12 Chapel)										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	10/4/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	1	10/7/2013	 		 	(Cycle 1)	Cycle 1            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	10/7/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	10/8/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	10/9/2013	 		 	"Extended 1 Schedule (1,3,5,7)"	"Extended 1 Schedule (1,3,5,7)"										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	10/10/2013	 		 	"Extended 1 Schedule (2,4,6,8)"	"Extended 1 Schedule (2,4,6,8)"										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	10/11/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	7	10/15/2013	 		 	(Cycle 7)	Cycle 7            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	10/15/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	10/16/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	10/17/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	10/18/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	3	10/21/2013	 		 	(Cycle 3)	Cycle 3            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	10/21/2013	 		 	Chapel Schedule (Grs. 11  & 12 Chapel)	Chapel Schedule (Grs. 11  & 12 Chapel)										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	10/22/2013	 		 	Chapel Schedule (Grs. 9  & 10 Chapel)	Chapel Schedule (Grs. 9  & 10 Chapel)										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	10/23/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	10/24/2013	 		 	Chapel Schedule (Grs. 7  & 8 Chapel)	Chapel Schedule (Grs. 7  & 8 Chapel)										
2013-2014	FALSE	TRUE	TRUE	Cycle	1	10/28/2013	 		 	(Cycle 1)	Cycle 1            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	10/28/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	10/29/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	10/30/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	10/31/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	1	11/1/2013	 		 	(Cycle 1)	Cycle 1            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	11/1/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	7	11/4/2013	 		 	(Cycle 7)	Cycle 7            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	11/4/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	11/5/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	11/6/2013	 		 	"Extended 2 Schedule (8,2,6,4)"	"Extended 2 Schedule (8,2,6,4)"										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	11/7/2013	 		 	"Extended 2 Schedule (7,1,5,3)"	"Extended 2 Schedule (7,1,5,3)"										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	11/8/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	3	11/12/2013	 		 	(Cycle 3)	Cycle 3            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	11/12/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	11/13/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	11/14/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	11/15/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	1	11/18/2013	 		 	(Cycle 1)	Cycle 1            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	11/18/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	11/19/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	11/20/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	11/21/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	11/22/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	7	11/25/2013	 		 	(Cycle 7)	Cycle 7            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	11/25/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	11/26/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	11/27/2013	 		 	Assembly 1 Schedule	Assembly 1 Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	3	12/2/2013	 		 	(Cycle 3)	Cycle 3            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	12/2/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	12/3/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	12/4/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	12/5/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	12/6/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	1	12/9/2013	 		 	(Cycle 1)	Cycle 1            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	12/9/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	12/10/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	12/11/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	12/12/2013	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	12/13/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	7	12/16/2013	 		 	(Cycle 7)	Cycle 7            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	12/16/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	12/17/2013	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	12/18/2013	 		 	Assembly 2 Schedule	Assembly 2 Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	12/19/2013	 		 	Assembly 1 Schedule	Assembly 1 Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	3	1/6/2014	 		 	(Cycle 3)	Cycle 3            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	1/6/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	1/7/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	1/8/2014	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	1/9/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	1/10/2014	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	1	1/13/2014	 		 	(Cycle 1)	Cycle 1            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	1/13/2014	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	1/14/2014	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	1/15/2014	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	1	1/21/2014	 		 	(Cycle 1)	Cycle 1            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	1/21/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	1/22/2014	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	1/23/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	1	1/24/2014	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	7	1/27/2014	 		 	(Cycle 7)	Cycle 7            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	1/27/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	1/28/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	1/29/2014	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	1/30/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	7	1/31/2014	 		 	Basic Schedule	Basic Schedule										
2013-2014	FALSE	TRUE	TRUE	Cycle	3	2/3/2014	 		 	(Cycle 3)	Cycle 3            										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	2/3/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	2/4/2014	 		 	Chapel Schedule	Chapel Schedule										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	2/5/2014	 		 	"Extended 3 Schedule (3,7,5,1)"	"Extended 3 Schedule (3,7,5,1)"										
2013-2014	FALSE	TRUE	TRUE	Schedule|Upper School|Faculty	3	2/6/2014	 		 	"Extended 3 Schedule (4,8,6,2)"	"Extended 3 Schedule (4,8,6,2)"										
